Epoch, Time, loss_tr, acc_tr, loss_val, acc_val, acc_val_voting
1,   1.1202,  1.81699,   0.5352,  1.74871,   0.6317,   0.6774
2,   1.1214,  1.53797,   0.7748,  1.54377,   0.7608,   0.8280
3,   1.1158,  1.45040,   0.8527,  1.52833,   0.7876,   0.8172
4,   1.1145,  1.39272,   0.8990,  1.49586,   0.8145,   0.8925
5,   1.1100,  1.35938,   0.9250,  1.50665,   0.7742,   0.8065
6,   1.1229,  1.32449,   0.9471,  1.49290,   0.8011,   0.8495
7,   1.1097,  1.30058,   0.9618,  1.50734,   0.7823,   0.8495
8,   1.1173,  1.28007,   0.9767,  1.50893,   0.7903,   0.8280
9,   1.1191,  1.26592,   0.9854,  1.49446,   0.8172,   0.8817
10,   1.1216,  1.25513,   0.9881,  1.49236,   0.8118,   0.8710
11,   1.1226,  1.23961,   0.9946,  1.46851,   0.8226,   0.8602
12,   1.1162,  1.23794,   0.9937,  1.49039,   0.8199,   0.8925
13,   1.1169,  1.23352,   0.9955,  1.47391,   0.8172,   0.8817
14,   1.1126,  1.23057,   0.9970,  1.47371,   0.8199,   0.8710
15,   1.1209,  1.22543,   0.9997,  1.48530,   0.8199,   0.8817
16,   1.1127,  1.22550,   0.9970,  1.49487,   0.8065,   0.8710
17,   1.1116,  1.22337,   0.9973,  1.48091,   0.8091,   0.8925
18,   1.1189,  1.21849,   0.9991,  1.47387,   0.8360,   0.8817
19,   1.1227,  1.21935,   0.9982,  1.48902,   0.8145,   0.8602

[Info]Early stopping with best loss:  1.49586, best accuracy:   0.8145 and best voting accuracy:   0.8925
version: 1.0
load_state: False
save_state: False
test_only: False
test_original: False
data: GTZAN
sample_rate: 16000
hop_gap: 0.5
splits_per_track: 4
sigma_gnoise: 0.004
smooth_label: 0.3
epoch: 100
num_workers: 8
batch_size: 60
manual_lr: False
lr: 0.0001
lr_patience: 10
es_patience: 15
resnet_pretrained: True
fold: 0
device: cuda
log: _result/log/v1.0-fold0-Nov_03_11_56.txt
total_num_splits: 8
num_label: 10
