Epoch, Time, loss_tr, acc_tr, loss_val, acc_val, acc_val_voting
1,   1.1157,  1.80119,   0.5588,  1.75066,   0.6935,   0.7312
2,   1.1197,  1.53198,   0.7772,  1.60612,   0.7177,   0.7312
3,   1.1159,  1.44822,   0.8513,  1.59867,   0.7097,   0.7419
4,   1.1184,  1.39077,   0.8990,  1.58054,   0.7177,   0.7419
5,   1.1232,  1.35119,   0.9292,  1.56320,   0.7124,   0.7204
6,   1.1230,  1.32776,   0.9427,  1.56905,   0.7366,   0.7957
7,   1.1159,  1.30456,   0.9591,  1.55752,   0.7554,   0.8172
8,   1.1159,  1.27776,   0.9812,  1.55472,   0.7473,   0.7849
9,   1.1177,  1.26738,   0.9842,  1.57169,   0.7366,   0.7742
10,   1.1143,  1.25394,   0.9907,  1.56522,   0.7473,   0.7957
11,   1.1131,  1.23962,   0.9937,  1.56203,   0.7634,   0.8065
12,   1.1214,  1.23791,   0.9934,  1.55081,   0.7554,   0.7742
13,   1.1130,  1.23411,   0.9943,  1.54476,   0.7581,   0.8065
14,   1.1205,  1.23206,   0.9958,  1.54934,   0.7581,   0.7957
15,   1.1180,  1.22756,   0.9961,  1.54759,   0.7634,   0.8065
16,   1.1197,  1.22329,   0.9961,  1.55644,   0.7527,   0.7849
17,   1.1104,  1.22407,   0.9973,  1.54516,   0.7715,   0.8172
18,   1.1156,  1.22091,   0.9991,  1.54295,   0.7769,   0.8172
19,   1.1170,  1.22164,   0.9979,  1.54646,   0.7688,   0.8065
20,   1.1163,  1.21654,   0.9988,  1.54585,   0.7634,   0.8065
21,   1.1196,  1.21466,   0.9994,  1.53983,   0.7661,   0.8065
22,   1.1189,  1.21424,   0.9994,  1.54666,   0.7715,   0.7957

[Info]Early stopping with best loss:  1.55752, best accuracy:   0.7554 and best voting accuracy:   0.8172
version: 1.0
load_state: False
save_state: False
test_only: False
test_original: False
data: GTZAN
sample_rate: 16000
hop_gap: 0.5
splits_per_track: 4
sigma_gnoise: 0.004
smooth_label: 0.3
epoch: 100
num_workers: 8
batch_size: 60
manual_lr: False
lr: 0.0001
lr_patience: 10
es_patience: 15
resnet_pretrained: True
fold: 3
device: cuda
log: _result/log/v1.0-fold3-Nov_03_13_39.txt
total_num_splits: 8
num_label: 10
